location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Kootenay Boundary,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for a mix of sun and cloud during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Rockies,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for mostly cloudy skies and isolated flurries during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Lizard Range and Flathead,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for mostly cloudy skies and isolated flurries during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
"Kananaskis Country, Alberta Parks",2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">A return to wintery conditions at upper elevations requires a shift in mindset. Be prepared for wind slabs in the Alpine. Otherwise, this time of year brings rapid changes to the snowpack and avalanche hazard with solar radiation and warm temps.</span></p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2019-12-01T00:00:00Z,moderate,low,low,low,<p>Caution as you transition into wind exposed terrain. Wind slabs may be encountered at upper elevations and could be reactive to human triggering.</p>,Uncertainty is due to the limited number of field observations.
Lizard-Flathead,2019-12-01T00:00:00Z,low,low,low,moderate,<p>Low hazard doesn&#39;t mean no hazard! Watch for isolated pockets of wind slab at upper elevations.</p>,Confidence is due to a stable weather pattern with little change expected.
Kootenay-Boundary,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Firm snow conditions will make for fast travel up high this weekend. Watch for pockets of hard wind slab in the alpine and tree line elevation bands. </p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Uncertainty is due to the limited number of field observations.
Cariboos,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
South Coast,2019-12-01T00:00:00Z,low,low,low,high,"<p>The snow cover is still very thin, with early season hazards lurking just out of sight.</p>",Confidence is due to a stable weather pattern with little change expected.
Yukon,2019-11-29T00:00:00Z,N/A,N/A,N/A,N/A,"<p>The White Pass area may receive over 30 cm of new snow accompanied by strong to extreme southerly winds between Saturday Nov 30th, and Monday Dec 2. This will create prime conditions for an avalanche cycle in which both natural and human triggered avalanches will be very likely.</p>",N/A
Northwest Inland,2019-12-01T00:00:00Z,moderate,low,low,low,<p>Low hazard doesn&#39;t mean no hazard!  Watch for isolated pockets of wind slab at upper elevations.</p>,Uncertainty is due to the limited number of field observations.
Northwest Coastal,2019-12-01T00:00:00Z,high,considerable,moderate,low,<p>Caution as you transition into wind exposed terrain. Avalanches are possible in alpine terrain where wind slabs have formed.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
North Columbia,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
Purcells,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
South Columbia,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
South Coast Inland,2019-12-01T00:00:00Z,low,low,low,moderate,"<p><strong>The snow pack is still very thin, and tapers quickly below the alpine elevation band. Watch out for early season hazards just below the surface.</strong></p>",Uncertainty is due to the limited number of field observations.
North Rockies,2019-11-29T23:00:00Z,N/A,N/A,N/A,N/A,"<p>New North Rockies blog is <a href=""https://www.avalanche.ca/blogs/north-rockies-heres-what-we-know"" target=""_blank"">live here</a>. Snowfall beginning Monday afternoon is expected to produce 10 to 25 cm by Wednesday morning with potentially strong west wind. In the absence of regular forecasts, check out <a href=""https://www.avalanche.ca/dangerator"" target=""_blank"">Avalanche Canada Dangerator</a> for estimating local danger ratings.</p>",N/A
Sea to Sky,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Cold conditions and firm snow surfaces will make for fast travel in the alpine. Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Uncertainty is due to the limited number of field observations.
Kananaskis Country,2019-12-01T00:00:00Z,low,low,norating,moderate,<p>Watch for pockets of windslabs at ridgelines.  A few people backed off of steeper areas on Saturday related to this problem.  Highwood pass is now closed until June 15th. </p>,N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2019-12-02T00:00:00Z,moderate,low,low,moderate,<p>The big story in the South Rockies is the wind! Wind speeds could reach over 80km/h in the alpine.  Be alert to the possibility of new wind slabs forming in spite of a lack of fresh snow. </p>,Confidence is due to a stable weather pattern with little change expected.
Lizard-Flathead,2019-12-02T00:00:00Z,low,low,low,moderate,<p>The big story in the Lizard Range is the wind! Wind speeds could reach over 80km/h in the alpine.  Be alert to the possibility of new wind slabs forming in spite of a lack of fresh snow.  </p>,Confidence is due to a stable weather pattern with little change expected.
Kootenay-Boundary,2019-12-02T00:00:00Z,moderate,low,low,moderate,<p>A bit of snow in the forecast is not expected to elevate avalanche danger on Monday.</p>,Uncertainty is due to the limited number of field observations.
Cariboos,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
South Coast,2019-12-02T00:00:00Z,moderate,low,low,high,<p>Avalanche danger will rise throughout the week with the arrival of snow.</p><p></p>,N/A
Yukon,2019-11-29T00:00:00Z,N/A,N/A,N/A,N/A,"<p>The White Pass area may receive over 30 cm of new snow accompanied by strong to extreme southerly winds between Saturday Nov 30th, and Monday Dec 2. This will create prime conditions for an avalanche cycle in which both natural and human triggered avalanches will be very likely.</p>",N/A
Northwest Inland,2019-12-02T00:00:00Z,moderate,moderate,low,moderate,"<p><strong>Storm slabs may be reactive to human triggering, especially in wind loaded areas, and at upper elevations. Watch for signs of instability such as whumphing, cracking and recent avalanches.</strong></p>",Forecast snowfall amounts are uncertain.
Northwest Coastal,2019-12-02T00:00:00Z,considerable,considerable,moderate,moderate,<p>The Northwest Coast is about to get slammed by a significant storm.  Heavy snow and very high winds are expected on Monday.  Expect Avalanche Danger to increase throughout the day.</p>,We are confident the likelihood of avalanche will increase with the arrival of the forecast weather.
North Columbia,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
Purcells,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
South Columbia,2019-12-01T00:00:00Z,low,low,low,moderate,"<p>Soak up the sunshine, take stock of early season snowpack variability, and monitor for lingering pockets of wind slab in the alpine.</p><p>Share what you see in the mountains this weekend via the <a href=""https://www.avalanche.ca/mountain-information-network/submit"" target=""_blank"">MIN</a>!</p>",Confidence is due to a stable weather pattern with little change expected.
South Coast Inland,2019-12-02T00:00:00Z,moderate,low,low,moderate,<p>We aren&#39;t expected enough new snow to produce avalanches on Monday.</p>,Forecast precipitation (either snow or rain) amounts are uncertain.
North Rockies,2019-11-29T23:00:00Z,N/A,N/A,N/A,N/A,"<p>New North Rockies blog is <a href=""https://www.avalanche.ca/blogs/north-rockies-heres-what-we-know"" target=""_blank"">live here</a>. Snowfall beginning Monday afternoon is expected to produce 10 to 25 cm by Wednesday morning with potentially strong west wind. In the absence of regular forecasts, check out <a href=""https://www.avalanche.ca/dangerator"" target=""_blank"">Avalanche Canada Dangerator</a> for estimating local danger ratings.</p>",N/A
Sea to Sky,2019-12-02T00:00:00Z,moderate,low,low,high,<p>A succession of storms will bring new snow and increase avalanche danger this week.</p>,N/A
Kananaskis Country,2019-12-01T21:00:00Z,low,low,norating,high,"<p>Early season conditions; be careful for rocks, logs and branches that are just under the snow surface.</p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2019-12-03T00:00:00Z,moderate,low,low,moderate,<p>Caution as you transition into wind exposed terrain. Avalanches are possible in alpine terrain where wind slabs have formed.</p>,Uncertainty is due to the limited number of field observations.
Lizard-Flathead,2019-12-03T00:00:00Z,moderate,low,low,moderate,<p>Caution as you transition into wind exposed terrain. Avalanches are possible in alpine terrain where wind slabs have formed.</p>,Uncertainty is due to the limited number of field observations.
